code,station,date,date.utc,nh4.ugl,no2.ugl,no3.ugl,po4.ugl,sio4.mgl,tn.ugl,tp.ugl,tsi.mgl,equipment
mzt.1.20240115,1,2024-01-15,2024-01-15 16:47,9.048075005,-0.85,-0.36,13.32,0.07,174.74,21.84,0.088942576,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.2.20240115,2,2024-01-15,2024-01-15 18:04,10.5207583,-0.1,-5.58,11.79,-0.03,160.55,19.77,0.022,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.3.20240115,3,2024-01-15,2024-01-15 18:21,7.41,2.46,-7.81,10.89,-0.03,149.78,24.51,0.052,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.4.20240115,4,2024-01-15,2024-01-15 21:37,172.68,18.06,51.08,42.76,0.17,538.65,54.75,0.276,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt5.20240115,5,2024-01-15,2024-01-15 20:42,88.18,5.91,56.9,47.66,0.17,548.43,52.11,0.262,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.6.20240115,6,2024-01-15,2024-01-15 20:02,211.31,17.22,124.54,72.51,0.35,833.87,106.38,0.396,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.7.20240115,7,2024-01-15,2024-01-15 19:44,322.92,39.42,149.2,91.3,0.55,1196.37,152.46,0.619,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.8.20240115,8,2024-01-15,2024-01-15 19:30,209.06,59.45,163.18,93.32,0.84,1322.91,153.61,1.008,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.9.20240115,9,2024-01-15,2024-01-15 19:12,414.71,76.57,165.93,86.67,1.21,1050.45,133.6,1.398069316,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.11.20240115,11,2024-01-15,2024-01-15 18:54,318.92,63.5,155.32,84.73,1.46,1143.03,130.49,1.568,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.1.20240214,1,2024-02-14,2024-02-14 17:04,-1.96,2.61,21.96,16.49,0.05,204.62,27.79,0.127,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.2.20240214,2,2024-02-14,2024-02-14 18:16,14.97,4.21,42.15,25.02,0.12,274.07,31.49,0.22273935,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.3.20240214,3,2024-02-14,2024-02-14 18:33,4.32,4.21,44.45,23.01,0.13,218.64,37.56,0.219,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.4.20240214,4,2024-02-14,2024-02-14 22:20,115.58,10.32,100.75,47.77,0.43,541.82,67.32,0.566,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.5.20240214,5,2024-02-14,2024-02-14 21:22,114.6,10.73,111.53,52.54,0.47,527.48,65.61,0.764972092,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.6.20240214,6,2024-02-14,2024-02-14 20:38,287.21,13.06,122.12,70.96,0.69,751.56,108.27,1.265903364,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.7.20240214,7,2024-02-14,2024-02-14 20:21,136.4,19.76,62.22,63.76,1.14,666.73,98.57,1.978180332,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.8.20240214,8,2024-02-14,2024-02-14 20:04,-6.66,10,23.26,58.67,1.38,951.18,148.83,1.41,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.9.20240214,9,2024-02-14,2024-02-14 19:45,11.17431597,-0.84,13.82,55.09,1.37,933.1,164.49,1.735,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.11.20240214,11,2024-02-14,2024-02-14 19:25,53.88,2.64,2.65,65.26,1.81,725.15,111.12,1.885,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.1.20240315,1,2024-03-15,2024-03-15 16:23,-5.45,4.5,54.71,47.93,0.14,239.23,43.73,0.177,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.2.20240315,2,2024-03-15,2024-03-15 16:36,-7.44,5.37,49.47,29.14,0.13,202.26,40.15,0.165,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.3.20240315,3,2024-03-15,2024-03-15 16:46,-8.24,5.13,67.97,28.56,0.2,268.38,53.41,0.241,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.4.20240315,4,2024-03-15,2024-03-15 18:54,489.72,29.13,185.98,97.18,0.48,1054.19,128.6,0.52,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.5.20240315,5,2024-03-15,2024-03-15 18:44,777.95,40.15,157,126.52,0.63,1514.79,182.54,0.665,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.6.20240315,6,2024-03-15,2024-03-15 18:31,625.25,72.43,162.76,123.45,0.63,1606.12,185.11,0.682,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.7.20240315,7,2024-03-15,2024-03-15 18:15,696.12,47.26,169.06,114.95,0.75,1400.49,163.55,0.801,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.8.20240315,8,2024-03-15,2024-03-15 18:03,519.94,51.53,149.47,90.5,0.82,1324.96,148.88,0.93,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.9.20240315,9,2024-03-15,2024-03-15 17:48,411.94,43.41,113.25,67.4,0.97,1199.59,141.85,1.102,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.11.20240315,11,2024-03-15,2024-03-15 17:23,196.87,28.73,97.87,58.64,1.27,907.42,110.38,1.285,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.1.20240419,1,2024-04-19,2024-04-19 16:41,42.85879204,-1.63,1.44,16.55,0.02,272.54,58.84,0.075,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.2.20240419,2,2024-04-19,2024-04-19 17:41,8.908649368,-1.74,1.26,21.94,0,310.49,67.27,0.1,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.3.20240419,3,2024-04-19,2024-04-19 17:50,7.322682744,-1.7,0.49,21.54,0.02,524.13,100.21,0.124,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.4.20240419,4,2024-04-19,2024-04-19 22:18,53.39,17.1,118.87,60.73,-0.01,740.88,133.65,0.226,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.5.20240419,5,2024-04-19,2024-04-19 21:18,193.44,23.42,145.84,97.88,0.02,1061.98,200.13,0.315,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.6.20240419,6,2024-04-19,2024-04-19 20:32,170.99,27.61,138.07,103.39,0.1,873.47,163.06,0.23,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.7.20240419,7,2024-04-19,2024-04-19 20:12,184.81,22.67,52.85,67.61,0.27,764.33,115.65,0.357,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.8.20240419,8,2024-04-19,2024-04-19 19:52,210.53,14.31,25.89,60.03,0.5,67.58,86.89,0.613,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.9.20240419,9,2024-04-19,2024-04-19 19:19,83.44,5.46,5.17,43.51,1.08,765.59,120.76,1.173,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.11.20240419,11,2024-04-19,2024-04-19 19:02,200.22,5.34,17.16,99.94,1.42,812.69,153.74,2.470411314,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.1.20240514,1,2024-05-14,2024-05-14 16:50,7.49,-1.53,2.46,13.31,0,370.96,48.78,0.06,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
mzt.2.20240514,2,2024-05-14,2024-05-14 17:52,9.21,-1.71,1.02,15.26,0,342.29,50.49,0.06,UV-VIS Agilent (DN)/UV-VIS Genesys(TN)
